[20:09:05] studio/test [qos=1]  {"studio_test":true,"sender":"studio-test","body":"{\"hello\": \"from studio\"}"}
[23:06:36] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:37] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:38] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:39] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:40] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:41] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:42] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:43] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:44] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
[23:06:45] vision/detector/status [qos=1 retained]  {"schema":"desk_buddy.vision.status.v1","service_id":"detector","launch_id":"443e87c4d813478f82c87cbe2fce01ed","process_state":"running","state":"ready","ready":true,"busy":false,"device":"cpu","model_id":"google/owlv2-base-patch16","catalog_id":"owlv2-base","revision":"2a1560802f8cf3c408fec9b809d705f56a2f7146","last_error":""}
